chrom	start	end	source_id	gene_symbol	reference_coordinates_and_list	reference_original_25_icr_list	reference_gene_annotation
8	139720157	139720627	Known_ICR_10		Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
8	140096709	140101450	Known_ICR_11	TRAPPC9/PEG13	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
11	2108907	2109133	Known_ICR_13		Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
11	2147895	2148298	Known_ICR_14	IGF2/INS-IGF2/IGF2-AS	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
11	2699959	2700208	Known_ICR_15	KCNQ1/KCNQ1OT1	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
13	48318772	48318963	Known_ICR_16	RB1	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
14	100824610	100824968	Known_ICR_17		Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
14	100827635	100828028	Known_ICR_18	MEG3	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
15	23647364	23647585	Known_ICR_19	MAGEL2	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
15	23686338	23686739	Known_ICR_20	NDN	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
15	24823278	24823704	Known_ICR_21	SNHG14/SNRPN	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
19	56839372	56839658	Known_ICR_22	ZIM2/PEG3	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
20	37520864	37521310	Known_ICR_23	BLCAP/NNAT	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
20	43513893	43514155	Known_ICR_24	L3MBTL1	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
20	58840683	58840992	Known_ICR_25	GNAS-AS1/GNAS	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
